Species,ID #,Length (mm),Weight (g),Age
bc,1,266,340,2
bc,2,289,490,2
bc,3,261,340,2
bc,4,274,470,3
wc,5,251,270,1
bc,6,178,90,2
bc,7,175,80,1
bc,8,279,390,3
bc,9,285,430,2
bc,10,178,80,2
bc,11,147,50,1
bc,12,217,170,2
bc,13,285,460,2
bc,14,292,520,3
wc,15,188,90,1
bc,16,163,60,1
bc,17,314,517,4
bc,18,254,430,3
bc,19,176,80,2
bc,20,222,180,2
bc ,21,304,550,3
bc,22,260,320,3
wc,23,225,160,1
bc,24,237,260,2
wc,25,133,30,0
bc,26,208,140,1
bc,27,251,280,2
bc,28,269,400,3
bc,29,241,260,2
bc,30,128,30,1
bc,31,221,170,2
bc,32,153,40,1
bc,33,131,30,1
bc,34,206,140,2
bc,35,263,320,3
bc,36,267,360,3
wc,37,223,160,1
wc,38,204,120,1
wc,39,200,120,1
bc,40,280,430,3
bc,41,260,320,2
bc,42,273,350,2
bc,43,272,350,3
bc,44,252,200,2
bc,45,212,150,2
wc,46,204,110,1
bc,47,211,150,2
bc,48,257,360,2
bc,49,261,340,3
bc,50,225,200,1
bc,51,299,490,4
bc,52,280,360,3
bc,53,336,740,7
bc,54,255,340,2
bc,55,313,630,4
bc,56,291,450,3
bc,57,187,80,2
wc,58,157,40,1
bc,59,191,130,2
bc,60,312,570,3
bc,61,225,220,2
bc,62,327,710,3
wc,63,364,690,4
bc,64,316,610,4
bc,65,259,350,2
bc,66,264,400,2
wc,67,221,180,1
bc,68,291,500,3
bc,69,220,230,2
bc,70,260,330,2
bc,71,199,120,1
wc,72,271,380,2
bc,73,172,90,1
wc,74,275,290,2
bc,75,237,210,2
bc,76,301,510,1
wv,77,191,90,4
wc,78,205,130,1
bc,79,328,650,4
wc,80,201,140,2
bc,81,280,410,3
bc,82,245,280,2
bc,83,278,440,3
bc,84,205,130,2
bc,85,286,460,2
wc,86,231,210,2
bc,87,213,160,2
bc,88,296,480,3
bc,89,209,160,2
bc,90,307,550,2
bc,91,260,320,2
wc,92,191,120,1
wc,93,187,100,1
bc,94,296,510,3
bc,95,223,200,2
bc,96,336,710,3
bc,97,232,230,2
bc,98,258,340,2
bc,99,246,230,2
bc,100,209,160,2
bc,101,310,670,3
bc,102,245,250,2
bc,103,314,610,3
bc,104,305,560,2
bc,105,260,330,2
bc,106,255,300,2
wc,107,203,120,1
bc,108,268,370,2
bc,109,309,550,3
bc,110,199,150,2
bc,111,163,70,1
bc,112,244,260,2
bc,113,286,460,4
bc,114,250,260,2
bc,115,284,420,3
bc,116,286,440,3
bc,117,182,90,1
bc,118,186,100,1
bc,119,231,230,2
wc,120,193,100,1
bc,121,268,340,2
bc,122,280,490,3
bc,123,286,100,1
wc,124,197,110,1
wc,125,176,80,1
bc,126,194,130,2
bc,127,168,80,2
bc,128,170,80,2
wc,129,175,80,1
bc,130,168,80,1
bc,131,163,60,2
bc,132,160,70,1
wc,133,156,50,1
bc,134,149,50,1
wc,135,174,70,1
bc,136,157,50,1
bc,137,306,510,3
wc,138,280,390,2
wc,139,206,110,1
bc,140,255,300,2
bc,141,265,350,
bc,142,262,310,2
bc,143,325,620,2
wc,144,224,190,4
bc,145,274,360,3
wc,146,213,140,1
wc,147,200,120,1
bc,148,296,470,4
bc,149,284,460,3
bc,150,304,440,3
bc,151,275,380,2
bc,152,295,440,3
bc,153,249,230,1
bc,154,285,430,3
bc,155,271,390,3
bc,156,292,520,3
bc,157,311,630,5
bc,158,359,820,2
bc,159,260,350,1
bc,160,271,380,2
wc,161,168,60,2
bc,162,264,380,3
bc,163,277,420,1
bc,164,294,510,4
wc,165,247,240,3
bc,166,282,420,1
bc,167,327,620,3
bc,168,285,480,1
bc,169,160,60,3
wc,170,257,270,3
bc,171,290,470,3
bc,172,266,380,1
bc,173,289,490,4
bc,174,315,610,1
wc,175,227,210,1
wc,176,250,280,2
wc,177,220,160,3
wc,178,278,360,1
bc,179,289,450,1
wc,180,222,170,1
wc,181,186,80,1
wc,182,183,80,1
wc,183,165,60,1
wc,184,172,60,1
bc,185,143,40,0
bc,186,157,40,1
wc,187,100,0,1
wc,188,190,120,1
wc,189,180,80,1
bc,190,155,50,1
wc,191,156,40,1
wc,192,188,90,1
wc,193,144,30,1
wc,194,159,50,1
bc,195,141,40,1
bc,196,139,30,1
bc,197,135,40,1
wc,198,156,40,1
wc,199,142,30,1
wc,200,154,40,1
wc,201,142,30,1
wc,202,130,20,1
wc,203,130,20,1
bc,204,130,30,1
bc,205,125,30,1
bc,206,111,20,1
wc,207,116,20,0
bc,208,118,10,1
wc,209,111,10,0
bc,210,108,10,1
wc,211,112,10,0
wc,212,111,10,0
wc,213,105,10,0
wc,214,100,10,0
bc,215,130,30,1
bc,216,105,10,1
