weight,length,eggVolume,eggMass,gonadWeight,gsi,totalEggs,log total eggs
499.00,311.00,7.50,7.65,9.62,1.93,23513.00,4.37
524.00,322.00,21.00,21.42,32.55,6.21,65835.00,4.82
550.00,386.00,31.00,31.62,57.08,10.38,97185.00,4.99
581.00,329.00,20.50,20.91,32.50,5.59,64268.00,4.81
351.00,216.00,7.50,7.65,7.44,2.12,23513.00,4.37
659.00,346.00,35.00,35.70,13.46,2.04,109725.00,5.04
496.00,321.00,22.50,22.95,25.12,5.06,70538.00,4.85
640.00,326.00,22.00,22.44,27.47,4.29,68970.00,4.84
584.00,334.00,22.50,22.95,30.92,5.29,70538.00,4.85
634.00,339.00,16.50,16.83,24.91,3.93,51728.00,4.71
827.00,343.00,17.00,17.34,17.86,2.16,53295.00,4.73
649.00,346.00,28.00,28.56,45.85,7.06,87780.00,4.94
745.00,349.00,18.00,18.36,50.78,6.82,56430.00,4.75
547.00,335.00,15.50,15.81,26.46,4.84,48593.00,4.69
454.00,318.00,11.50,11.73,16.48,3.63,36053.00,4.56
893.00,382.00,21.50,21.93,.,.,67403.00,4.83
585.00,338.00,26.00,26.52,25.63,4.38,81510.00,4.91
631.00,346.00,15.50,15.81,34.87,5.53,48593.00,4.69
650.00,343.00,9.00,9.18,21.35,3.28,28215.00,4.45
